NOTE,id,Moy_Pontage_de_fissures,Moy_Comblage_de_trou_ou_Projection_d_enrobe,Moy_Longitudinale,Moy_Transversale,Moy_Nid_de_poule,Moy_Faiencage,Moy_Arrachement_pelade,Moy_Remblaiement_de_tranchees
9.74,D10_PR12_0_PR12_200,0.0,0.0,0.5,0.6,0.0,0.2,0.2,0.0
9.62,D10_PR12_200_PR12_400,0.0,0.1,0.6,0.2,0.0,0.4,0.1,0.1
9.6,D10_PR12_400_PR12_600,0.0,0.1,0.6,0.6,0.0,0.4,0.1,0.1
9.62,D10_PR12_600_PR12_800,0.0,0.0,0.7,0.6,0.0,0.1,0.0,0.0
9.58763,D10_PR12_800_PR12_994,0.0,0.0,0.777778,0.44444399999999995,0.0,0.333333,0.0,0.11111099999999999
9.40741,D10_PR13_0_PR13_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.84302,D10_PR14_0_PR14_177,0.0,0.0,0.625,0.875,0.0,0.5,0.25,0.125
10.0,D10_PR15_0_PR15_200,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
10.0,D10_PR15_200_PR15_400,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
10.0,D10_PR15_400_PR15_600,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
10.0,D10_PR15_600_PR15_800,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
10.0,D10_PR15_800_PR15_997,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR16_0_PR16_200,0.0,0.0,0.1,0.1,0.0,0.1,0.2,0.0
10.0,D10_PR16_200_PR16_400,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR16_400_PR16_600,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0
10.0,D10_PR16_600_PR16_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR16_800_PR16_994,0.0,0.0,0.0,0.0,0.0,0.0,0.11111099999999999,0.0
10.0,D10_PR17_0_PR17_200,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0
10.0,D10_PR17_200_PR17_400,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
10.0,D10_PR17_400_PR17_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR17_600_PR17_800,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0
10.0,D10_PR17_800_PR17_1001,0.0,0.0,0.4,0.0,0.0,0.0,0.3,0.0
8.575,D10_PR18_0_PR18_200,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
9.125,D10_PR18_200_PR18_400,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
10.0,D10_PR18_400_PR18_600,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.0
10.0,D10_PR18_600_PR18_800,0.0,0.0,0.6,0.4,0.0,0.0,0.1,0.0
5.58333,D10_PR18_800_PR18_908,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
5.11864,D10_PR19_0_PR19_110,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2
9.275,D10_PR20_0_PR20_200,0.0,0.0,0.225,0.0,0.0,0.1,0.175,0.1
9.96,D10_PR20_200_PR20_400,0.0,0.0,0.40625,0.125,0.0,0.0,0.0,0.0
9.365,D10_PR20_400_PR20_600,0.0,0.0,0.4,0.1,0.0,0.0,0.1,0.2
6.475,D10_PR20_600_PR20_800,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0
8.71782,D10_PR20_800_PR20_1002,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.2
10.0,D10_PR21_0_PR21_200,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0
10.0,D10_PR21_200_PR21_400,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.1
10.0,D10_PR21_400_PR21_600,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
9.75,D10_PR21_600_PR21_800,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0
10.0,D10_PR21_800_PR21_995,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR22_0_PR22_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
10.0,D10_PR22_200_PR22_400,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.3
7.325,D10_PR22_400_PR22_600,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2
7.775,D10_PR22_600_PR22_800,0.0,0.0,0.6,0.0,0.0,0.1,0.0,0.0
10.0,D10_PR22_800_PR22_995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR23_0_PR23_200,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.2
9.415,D10_PR23_200_PR23_400,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2
8.305,D10_PR23_400_PR23_600,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
