NOTE,id,Moy_Pontage,Moy_Comblage,Moy_Longitudinale,Moy_Transversale,Moy_Nid_de_poule,Moy_Faiencage,Moy_Arrachement_pelade,Moy_Remblaiement
7.1212100000000005,CCBHS - LE BOIS VERNOIS_TRONROUT0000000008433215_0_TRONROUT0000000008433215_38,0.0,0.0,0.0,0.0,0.0,0.0,0.13333299999999998,0.0
5.89634,CCBHS - LE BOIS VERNOIS_TRONROUT0000000008434809_0_TRONROUT0000000008434809_174,0.0,0.054877999999999996,0.0304878,0.0304878,0.097561,0.0487805,1.4878,0.0
9.49495,CCBHS - LE BOIS VERNOIS_TRONROUT0000000357273490_0_TRONROUT0000000357273490_200,0.0,0.0,0.0,0.00497512,0.00497512,0.0,0.333333,0.0
9.82,CCBHS - LE BOIS VERNOIS_TRONROUT0000000357273490_200_TRONROUT0000000357273490_400,0.0,0.0,0.00995025,0.0,0.00497512,0.0,0.383085,0.0
9.815,CCBHS - LE BOIS VERNOIS_TRONROUT0000000357273490_400_TRONROUT0000000357273490_600,0.0,0.00497512,0.014925399999999998,0.0,0.00497512,0.0,0.189055,0.0
8.795539999999999,CCBHS - LE BOIS VERNOIS_TRONROUT0000000357273490_600_TRONROUT0000000357273490_869,0.0,0.0,0.014925399999999998,0.037313400000000004,0.0,0.00373134,0.130597,0.0
9.71257,CCBHS - R DE BOURGOGNE_TRONROUT0000000057612586_0_TRONROUT0000000057612586_175,0.0,0.0,0.023952099999999997,0.0,0.0,0.0,0.0179641,0.0
9.05435,CCBHS - R DE LA CHIFFOGNE_TRONROUT0000000008409597_0_TRONROUT0000000008409597_191,0.0,0.0,0.0,0.027173900000000004,0.00543478,0.0,0.0706522,0.0
10.0,CCBHS - R DE LA COMBE_TRONROUT0000000008438467_0_TRONROUT0000000008438467_36,0.0,0.0,0.0,0.0,0.0,0.0,0.171429,0.057142899999999996
9.52239,CCBHS - R DE LA COMBE_TRONROUT0000000245037823_0_TRONROUT0000000245037823_202,0.0,0.00492611,0.00492611,0.00492611,0.0,0.0,0.349754,0.0344828
7.67956,CCBHS - R DE LA MAIRIE_TRONROUT0000000064722563_0_TRONROUT0000000064722563_183,0.0,0.0,0.127072,0.0718232,0.0,0.0,0.160221,0.0
8.55603,CCBHS - R DES FONTAINES_TRONROUT0000000008438465_0_TRONROUT0000000008438465_122,0.0,0.0178571,0.0178571,0.00892857,0.0,0.0892857,0.232143,0.07142860000000001
10.0,CCBHS - R DES FONTAINES_TRONROUT0000000008438476_0_TRONROUT0000000008438476_153,0.0,0.0,0.0253165,0.03797469999999999,0.0,0.0,0.132911,0.177215
9.8,CCBHS - R DES LABOUREURS_TRONROUT0000000035316909_0_TRONROUT0000000035316909_200,0.0,0.0,0.019900499999999998,0.0348259,0.0,0.0,0.0696517,0.0
9.16863,CCBHS - R DES LABOUREURS_TRONROUT0000000035316909_200_TRONROUT0000000035316909_455,0.0,0.0,0.00393701,0.00393701,0.0,0.00393701,0.102362,0.0
9.87,CCBHS - R DES LABOUREURS_TRONROUT0000000035316911_0_TRONROUT0000000035316911_200,0.0,0.0,0.029702999999999997,0.0,0.0,0.0,0.0841584,0.0
