NOTE,id,Arrachement pelade,Arrachement peignage,Arrachement plumage,Autres réparations,Faiencage grave,Faiencage significatif,Longitudinale grave,Longitudinale significatif,Pontage,Transversale grave,Transversale significatif,Réparation en BB
9.925,D10_PR3_400_PR3_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,D10_PR3_600_PR3_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.96954,D10_PR3_800_PR3_997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR4_0_PR4_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR4_200_PR4_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR4_400_PR4_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR4_600_PR4_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR4_800_PR4_1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR5_0_PR5_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR5_200_PR5_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.98,D10_PR5_400_PR5_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
9.98,D10_PR5_600_PR5_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
9.99,D10_PR5_800_PR5_1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
9.98,D10_PR6_0_PR6_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
10.0,D10_PR6_200_PR6_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR6_400_PR6_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR6_600_PR6_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR6_800_PR6_1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR7_0_PR7_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR7_200_PR7_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR7_400_PR7_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5689,D10_PR7_600_PR7_887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268293,0.0,0.0,0.0418118,0.0
6.558439999999999,D10_PR7_887_PR7_970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.638554,0.0,0.0,0.0,0.0
5.0,D10_PR8_0_PR8_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.0,D10_PR8_200_PR8_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.0,D10_PR8_400_PR8_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.0,D10_PR8_600_PR8_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.575,D10_PR8_800_PR8_1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.0,0.0,0.0,0.0
5.0,D10_PR9_0_PR9_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.0,D10_PR9_200_PR9_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.0,D10_PR9_400_PR9_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
